company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
شركة الزيت العربية السعودية,2222,6763900.0,242000.0,6.15,10.0,4.54,6.07,6947990.0,Energy,Oil & Gas Integrated
شركة المصافي العربية السعودية,2030,1110.0,15.0,25.33,10.0,2.92,0.0,774.76,Industrials,Conglomerates
شركة رابغ للتكرير والبتروكيماويات,2380,13585.23,1671.0,6.33,10.0,1.28,0.0,41869.81,Energy,Oil & Gas Refining & Marketing
الشركة الوطنية السعودية للنقل البحري,4030,21077.89,738.28,17.77,10.0,1.61,1.92,27573.13,Industrials,Marine Shipping
شركة الدريس للخدمات البترولية و النقليات,4200,13040.0,100.0,13.9,10.0,9.38,0.57,12967.85,Consumer Cyclical,Specialty Retail
شركة الحفر العربية,2381,10235.0,89.0,65.95,10.0,1.74,4.4,12795.65,Energy,
شركة أديس القابضة,2382,22310.23,1129.06,5.49,1.0,3.6,0.0,32777.12,Energy,Oil & Gas Drilling
شركة تكوين المتطورة للصناعات,1201,834.94,76.46,5.78,10.0,1.89,0.0,1287.02,Consumer Cyclical,
شركة الشرق الأوسط لصناعة وإنتاج الورق,1202,3367.13,86.67,19.07,10.0,2.04,1.73,3355.69,Basic Materials,
شركة الصناعات الكيميائية الأساسية,1210,826.38,27.5,21.71,10.0,1.38,3.32,1262.61,Basic Materials,Chemicals
شركة التعدين العربية السعودية,1211,192341.22,3691.77,13.31,10.0,3.91,0.0,227878.26,Basic Materials,
شركة إتحاد مصانع الأسلاك,1301,829.76,28.08,13.75,10.0,2.15,3.39,733.05,Industrials,
شركة اليمامة للصناعات الحديدية,1304,1610.36,50.8,11.51,10.0,2.75,0.0,2498.6,Basic Materials,Steel
الشركة السعودية لأنابيب الصلب,1320,3493.5,51.0,16.51,10.0,4.15,1.07,4038.31,Basic Materials,
شركة كيمائيات الميثانول,2001,1255.92,67.45,14.29,10.0,1.3,0.0,1679.86,Basic Materials,
الشركة السعودية للصناعات الأساسية,2010,210000.0,3000.0,55.16,10.0,1.27,4.86,238018.89,Basic Materials,Chemicals
شركة سابك للمغذيات الزراعية,2020,53792.52,476.04,39.12,10.0,2.89,5.3,44121.4,Basic Materials,
شركة الجبس الأهلية,2090,685.27,31.67,11.04,10.0,1.96,0.0,674.92,Basic Materials,
شركة الصناعات الزجاجية الوطنية,2150,1704.22,32.9,23.11,10.0,2.24,1.93,1695.65,Consumer Cyclical,
